accx,accy,accz,activity
0.095493631,0.074531016,-0.170099988,4
0.030079268,-0.026204517,0.078337069,4
0.209623892,0.23031032,-0.755464208,4
0.281704557,0.350952059,-2.309326736,4
0.135491057,0.343895583,-1.725140059,4
0.248563422,-1.016797768,0.810010934,4
-1.682811526,-0.001772135,2.264657296,4
-1.984845092,-0.155297611,4.553663222,4
-0.838331535,0.105106144,4.622449053,4
1.562894828,-2.072165634,-0.458599305,4
0.601539654,-4.148214713,2.193683253,4
-1.138653067,-3.147026025,1.160610821,4
-3.25185608,-0.336708777,-4.74443828,4
-0.00026589,-0.699760638,1.619606746,4
0.556224384,-0.114311157,-0.542883181,4
-0.43249827,0.651975501,-2.689125479,4
-0.484611053,0.467358697,-2.033446359,4
1.711727305,-2.015330088,-0.599150973,4
1.403367923,-0.074707802,1.307114299,4
1.117918395,0.495767485,-0.60956293,4
0.275313569,-0.278919755,-0.443864457,4
-0.083943077,-0.670255364,0.542327274,4
-0.437845557,-0.384911003,-0.032317525,4
-0.50897156,-0.338030047,0.142345844,4
0.077560737,-0.007486736,0.017220663,4
-0.20540777,-0.155228111,0.226277293,4
-0.034742037,-0.193811906,0.224660044,4
0.155586792,-0.030248582,-0.163640016,4
0.181682186,-0.057236772,0.210795449,4
0.030166577,-0.120585339,0.250631313,4
0.212605045,-0.030490847,0.274950492,4
0.053554833,-0.041943768,0.127163697,4
-0.084224337,-0.134318329,0.12133058,4
-0.06010021,-0.119896972,0.421787677,4
-0.100337482,-0.086821031,-0.272006291,4
0.115649402,-0.020931932,0.261473147,4
-0.017993584,-0.047849126,0.055825958,4
-0.106474427,-0.079774728,-0.116192354,4
0.005904639,-0.076504412,0.04133238,4
-0.048457276,-0.064341224,-0.16295812,4
-0.091431228,-0.094475197,0.084093725,4
-0.16554405,-0.088760853,-0.090453162,4
-0.011051933,-0.035607327,-0.11968609,4
0.028233749,-0.013944431,0.172341495,4
0.005567891,-0.030590673,-0.009477583,4
0.147993088,0.030097898,0.113613249,4
0.07501536,-0.035026743,0.073219226,4
0.023094208,-0.039493246,-0.054073356,4
0.023689581,-0.005862502,-0.070695869,4
0.029334531,-3.04E-05,0.084735728,4
-0.061076109,-0.029188092,0.098553384,4
-0.12264406,-0.008154698,0.03815664,4
-0.050625619,-0.014217776,-0.101370191,4
0.114586421,0.114281942,0.012778676,4
-0.179603144,-0.069598629,-0.044589192,4
0.030920237,-0.015148108,-0.06788759,4
-0.012399456,0.016827544,-0.02622941,4
0.034183206,0.064012923,-0.112313111,4
-0.02123406,0.006264776,-0.04657041,4
-0.006205159,-0.012281821,0.107842888,4
0.078222713,0.03418918,0.082005152,4
-0.021238575,-0.016993639,0.179789528,4
0.056148168,-0.045463825,-0.077243589,4
0.048172187,0.028094265,-0.042278341,4
0.021986666,-0.016026846,0.031070722,4
-0.03068486,-0.044451453,-0.039349736,4
0.040923259,0.003238848,-0.022130132,4
0.015958177,-0.026691651,-0.103026346,4
0.003982396,0.031828351,0.109318079,4
-0.093698419,-0.077937835,-0.054030963,4
-0.01575839,0.018138338,-0.017227985,4
-0.018752706,0.037970245,-0.021121168,4
